"LINE","BLUP_Yield_per_plant","BLUP_Panicle_number","BLUP_Grain_number_per_panicle","BLUP_Seed_setting_rate","BLUP_Grain_weight","BLUP_Heading_date","BLUP_Height","BLUP_Panicle_length","BLUP_Grain_length","BLUP_Grain_width"
"Z106",43.2161032043409,13.413168887395,151.183025640312,0.82145761255095,24.3979947529844,94.5552761729589,94.0042632997267,23.7991394553715,8.43974655152223,2.58708858209931
"Z107",43.1023998805588,13.0027524685904,152.488822560022,0.819599779744876,25.2599528994276,79.0862724501654,99.6647725861607,22.5604888645772,8.40956512652123,2.59696207081754
"Z108",43.210309404403,12.7291415227207,168.987950698479,0.814026281326653,24.2604482402541,95.247918130696,90.0456064784952,22.7753568242048,8.37938370152024,2.61623888212455
"Z109",44.7637720127638,12.7291415227207,154.250368208572,0.831675692984359,31.6191866713246,87.8597372481677,112.613650038787,25.6823939250486,8.79330038724818,3.0337464050667
"Z110",43.3522575028826,12.3187251039162,161.526985553311,0.815884114132727,28.5243901348931,85.7818113749566,111.133778329916,24.7913238571812,9.73323619442206,2.51186200138902
"Z111",44.0438923704744,13.413168887395,157.811865297429,0.832604609387396,22.449419155972,93.4008729100639,100.0717373061,22.415137009535,8.16380209437026,2.54007196915538
"Z112",44.940482910871,13.1395579415253,176.973794997648,0.822386528953987,24.4117494042574,92.7082309523269,98.554868804507,23.0597408884177,8.2131463288957,2.63974718859652
"Z113",42.9959388066991,13.5499743603298,147.954378746675,0.808452782908429,25.5900645299802,93.6317535626429,90.9335295038181,21.0816917306697,8.11158343841616,2.87718108396339
"Z114",45.9862637996697,13.2763634144601,196.048671569887,0.800092535281095,25.4891970873114,85.0891694172196,105.584259421647,25.404329506707,8.87426325748895,2.52032499171893
"Z115",43.0140444315052,13.0027524685904,155.735392156478,0.801021451684132,26.4107587226043,80.7024370182184,98.3328880481762,24.5132594388397,9.48172431941376,2.40043262871189
"Z116",43.0727066558768,13.1395579415253,150.228001618641,0.829817860178285,23.7790354456981,95.940560088433,96.96400671747,22.2445065710072,8.01433218007962,2.72061576286009
"Z117",44.135144719497,13.1395579415253,163.434473210535,0.823315445357024,24.6914273134757,94.0935148678009,91.5254781873668,23.5463536205155,8.20643934556215,2.6693676547512
"Z118",42.983626981831,13.5499743603298,146.674185688136,0.82796002737221,22.0597040365695,96.63320204617,94.6332087759972,23.1292569930031,8.64574675390998,2.36611050126282
"Z119",44.5428833901297,12.3187251039162,182.990702372784,0.809381699311467,29.459706421459,85.7818113749566,110.911797573585,24.8545203158952,8.42489537414079,2.86824792750404
"Z120",42.5056384869507,13.413168887395,143.8654421177,0.822386528953987,22.1101377579039,95.940560088433,96.5940387902521,23.3314856608879,8.68838400510186,2.42770226421937
"Z121",44.0953123449237,14.370807197939,150.166552351831,0.828888943775247,21.2986133327952,86.4744533326937,103.99339733461,23.5147553911585,8.24572310508725,2.36893149803946
"Z122",42.8706478830411,12.8659469956556,168.555245444693,0.802879284490206,23.1600761384118,94.786156825538,88.8247123186761,22.5984067398056,7.71587142173644,2.71685443382457
"Z123",44.3929688167355,12.7291415227207,157.627517497,0.811239532117541,32.9258785422623,87.8597372481677,113.242595515058,25.4738456112924,9.2666217825019,3.03609723571389
"Z124",43.5883548503537,13.2763634144601,170.54722584378,0.788945538444649,25.2553680156699,82.5494822388505,99.9237501352132,24.4311040425115,9.05056110511381,2.47895037232826
"Z125",45.1266087338775,13.2763634144601,165.580076776647,0.810310615714504,28.652766880108,89.0141405110627,106.842150374188,23.4262803489589,7.99373215984084,3.07465085832792
"Z126",44.570403939835,13.1395579415253,159.040850633627,0.82796002737221,27.0251331461329,86.4744533326937,110.652820024532,23.7612215801431,8.63999791105265,2.74694506610869
"Z127",45.575628229068,13.0027524685904,155.394860802907,0.826102194566136,33.2697448240881,87.6288565955887,112.502659660622,24.8608399617666,9.24027291940579,2.94770600337929
"Z128",45.9790215497473,13.413168887395,182.332683140695,0.810310615714504,25.5442156924035,92.7082309523269,102.513525625739,23.8370573305999,8.48573729438089,2.64444884989091
"Z129",44.5638859149048,13.5499743603298,158.016696186796,0.82796002737221,24.4255040555305,86.0126920275356,109.912884170097,21.7958117141378,8.19781608127615,2.62799303536054
"Z130",44.0924154449547,13.8235853061996,164.225632520712,0.815884114132727,22.3577214808185,85.7818113749566,106.583172825135,23.2998874315309,8.28309058365991,2.51374266590677
"Z131",45.5147933297196,14.2340017250041,168.66278166161,0.818670863341838,22.9720959043471,92.4773502997479,94.6332087759972,23.7865001636287,8.00570891579362,2.59132007726427
"Z132",44.8861660364528,14.2340017250041,159.673266004546,0.81495519772969,24.1825052163736,85.7818113749566,106.842150374188,23.015503367318,8.33578830985213,2.56122944498015
"Z133",46.2636419716987,13.2763634144601,170.757177505381,0.826102194566136,27.8962610600914,88.5523792059047,111.984704562517,25.7961475507338,8.62370952295687,2.94770600337929
"Z134",44.7427694879888,13.2763634144601,168.071332468565,0.800092535281095,29.1662738609678,86.9362146378517,110.911797573585,24.7281273984673,8.63089557652854,2.90445071947087
"Z135",43.6165996250512,13.2763634144601,143.806553237007,0.818670863341838,28.7444645552615,85.0891694172196,106.953140752353,23.9381716645423,8.77365850748563,2.76434121289795
